iter	Logloss
269	0.3581998967
270	0.3581580531
271	0.3581159857
272	0.358080743
273	0.3580452393
274	0.3580004868
275	0.3579681903
276	0.3579331341
277	0.3578990476
278	0.3578603366
279	0.3578193135
280	0.3577783649
281	0.3577436443
282	0.3577190304
283	0.3576865475
284	0.3576398184
285	0.3576026738
286	0.3575659021
287	0.3575303611
288	0.3574822894
289	0.3574503286
290	0.3574077018
291	0.3573727202
292	0.3573406475
293	0.3572955966
294	0.3572743764
295	0.3572389846
296	0.3572092241
297	0.3571717439
298	0.3571548871
299	0.357120353
300	0.3570938371
301	0.3570716473
302	0.3570421852
303	0.3569996702
304	0.3569639428
305	0.3569274694
306	0.3568879753
307	0.3568380389
308	0.356762519
309	0.3567194446
310	0.3566919218
311	0.3566673825
312	0.3566267695
313	0.356586082
314	0.3565421126
315	0.3565246964
316	0.3564659586
317	0.3564276952
318	0.3563862245
319	0.3563641092
320	0.3563356168
321	0.3562939223
322	0.3562611784
323	0.3562097875
324	0.3561877841
325	0.3561446352
326	0.3561213266
327	0.3560894031
328	0.3560614327
329	0.3560411449
330	0.3560082518
331	0.3559811019
