Model,Precision,Accuracy,Recall,F1,Random Search Time,Train Time,Inference Time
LightGBM,0.7069485869271371,0.8626592667865238,0.7651605816482913,0.7349036382839287,3703.1545779705048,75.76408624649048,9.02622389793396
Dummy,0.0,0.7512039921641308,0.0,0.0,0.0,0.0,0.0
