model,Precision,Accuracy,Recall,F1,Train Time,Inference Time
MLP,0.7032973038771206,0.8488665378191675,0.6789877995841258,0.6909287926452177,2818.1847426891327,20.06108808517456
Dummy,0.0,0.7512039921641308,0.0,0.0,0.0,0.0
