Model,Precision,Accuracy,Recall,F1,Random Search Time,Train Time,Inference Time
XGBoost,0.7121362795157082,0.8647453312671589,0.7660000047967037,0.7380867370814715,1250.3137075901031,34.050649881362915,0.8281629085540771
Dummy,0.0,0.7512039921641308,0.0,0.0,0.0,0.0,0.0
