model,Precision,Accuracy,Recall,F1,Random Search Time,Train Time,Inference Time
CatBoost,0.703454181243026,0.8606561436568065,0.7605365592764652,0.7308825224145481,2143.2978749275208,60.01593351364136,0.7579977512359619
Dummy,0.0,0.7512039921641308,0.0,0.0,0.0,0.0,0.0
